sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.31522,0.29329,0.20407,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174,0.17174
-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.59783,-0.67842,-0.49659,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087,-0.51087
0.22174,0.22174,0.22174,0.22174,0.22174,0.22174,0.22174,0.22174,0.22174,0.22174,0.20502,0.091512,-0.03914,-0.1188,-0.17067,-0.20341,-0.23641,-0.28273,-0.33318,-0.37889,-0.40862,-0.44106,-0.44348,-0.44348,-0.44348,-0.43809,-0.4219,-0.41056,-0.45249,-0.49477,-0.5293,-0.54656,-0.56328,-0.57826,-0.60354,-0.61288,-0.61739,-0.63913,-0.65345,-0.66784,-0.68001,-0.68261,-0.68261,-0.68261,-0.69243,-0.71739,-0.71739,-0.71739,-0.71002,-0.64701,-0.6038,-0.58409,-0.58261,-0.60435,-0.60769,-0.56886,-0.51947,-0.50008,-0.48391,-0.47391
0.48894,0.46739,0.4834,0.44045,0.38391,0.33696,0.33696,0.33696,0.12308,0.06845,0.037772,-0.024029,-0.1665,-0.2538,-0.30019,-0.34643,-0.37279,-0.39984,-0.40501,-0.31704,-0.077623,0.058696,0.072521,0.05408,0.087228,0.11759,0.077815,0.030668,-0.028339,-0.088034,-0.074845,-0.0071043,-0.030706,-0.11182,-0.17174,-0.17088,0.010469,0.12233,0.14449,0.12391,0.10761,0.11595,0.13261,0.11087,0.10687,0.1184,0.10237,0.056522,-0.015256,-0.093866,-0.1784,-0.20905,-0.2236,-0.13795,-0.061142,-0.03816,-0.036957,-0.028766,0.036957,0.041063
0.12391,0.12391,0.11522,0.11522,0.1128,0.067391,0.043497,-0.060626,-0.15402,-0.21056,-0.24778,-0.28043,-0.28602,-0.31522,-0.31522,-0.36887,-0.41087,-0.41448,-0.43696,-0.4359,-0.38327,-0.28258,-0.2587,-0.2587,-0.2587,-0.25803,-0.23696,-0.23696,-0.23696,-0.28482,-0.31951,-0.3413,-0.37995,-0.44082,-0.49708,-0.49783,-0.48564,-0.43925,-0.42435,-0.42391,-0.42391,-0.42391,-0.42391,-0.42391,-0.42391,-0.42757,-0.4413,-0.46232,-0.47722,-0.52783,-0.55,-0.57951,-0.58718,-0.60116,-0.55626,-0.4946,-0.49348,-0.49348,-0.49963,-0.52307
0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957,0.21957
0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.08913,0.086009,0.058043,0.050312,0.045652,0.045652,0.045652,0.041304,0.041304,0.041304,0.039442,0.036957,0.036957,0.036957,0.036957,0.025158,0.013978,-0.0015669,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174,-0.002174
-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609,-0.17609
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35435,0.35435,0.35435,0.35435,0.35435,0.34757,0.32826,0.32391,0.3216,0.30539,0.30104,0.29348,0.29348,0.29348,0.28913,0.28693,0.27937,0.27609,0.27609,0.27609,0.27609,0.27174,0.27079,0.26739,0.26739,0.26739,0.26739,0.26739,0.26739,0.25795,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24508,0.23261,0.23261,0.23209
-0.002174,-0.002174,0.010883,0.019565,0.019565,0.013779,-0.019565,-0.019565,-0.019565,-0.023913,-0.023913,-0.023913,-0.026409,-0.10322,-0.20317,-0.27617,-0.37048,-0.45112,-0.50991,-0.56683,-0.60025,-0.63203,-0.64665,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044,-0.68044
