sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45863,-0.46762,-0.48913,-0.48913,-0.48782,-0.41947,-0.41522,-0.41522,-0.41564,-0.44565,-0.44565,-0.44565,-0.44565,-0.44565,-0.46235,-0.47609,-0.47609,-0.47609,-0.47609,-0.47609,-0.47609,-0.47609,-0.47506,-0.53888,-0.55394,-0.55435,-0.55435,-0.55435,-0.60198,-0.61957,-0.61957,-0.61957,-0.61957,-0.61957,-0.61957,-0.61957,-0.61957,-0.61957,-0.60496,-0.51957,-0.48338,-0.48849,-0.48913,-0.48913,-0.47474,-0.46304,-0.46304,-0.46304
-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261,-0.43261
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.057755,0.082919,0.11073,0.12513,0.12826,0.13416,0.14114,0.14333,0.15,0.15,0.15,0.15316,0.15435,0.15435,0.15435,0.15435,0.15435,0.15435,0.15435,0.14565
0.39783,0.39783,0.39783,0.39783,0.39783,0.39783,0.39783,0.36835,0.14094,-0.054348,-0.1177,-0.31956,-0.31956,-0.31956,-0.31956,-0.31956,-0.30693,-0.25,-0.25,-0.25,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696,-0.23696
-0.2,-0.2,-0.19288,-0.20693,-0.24077,-0.23927,-0.25005,-0.27826,-0.28261,-0.26283,-0.25735,-0.27687,-0.27826,-0.27826,-0.28144,-0.29145,-0.2631,-0.25652,-0.26351,-0.26957,-0.26957,-0.27055,-0.30153,-0.32335,-0.33178,-0.35133,-0.37888,-0.38261,-0.39565,-0.39565,-0.39565,-0.39833,-0.4,-0.4,-0.40415,-0.4087,-0.37355,-0.34086,-0.33409,-0.31859,-0.30749,-0.30435,-0.29745,-0.28268,-0.27497,-0.26721,-0.26522,-0.25607,-0.24832,-0.24496,-0.24348,-0.23913,-0.23901,-0.1913,-0.1913,-0.1913,-0.19074,-0.18696,-0.18696,-0.18696
-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261,-0.28261
-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.52391,-0.51522,-0.54305,-0.5587,-0.5587,-0.49685,-0.44565,-0.44565,-0.44565,-0.41087,-0.39812,-0.33147,-0.31642,-0.31522,-0.27558,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174,-0.27174
-0.354,-0.36696,-0.41772,-0.41544,-0.37274,-0.35814,-0.34737,-0.32515,-0.29459,-0.30057,-0.37311,-0.41932,-0.42505,-0.42505,-0.37293,-0.37293,-0.37293,-0.37293,-0.37702,-0.39473,-0.41085,-0.40945,-0.34687,-0.32497,-0.29134,-0.28607,-0.34191,-0.40045,-0.43327,-0.46053,-0.4815,-0.48353,-0.48591,-0.49888,-0.40295,-0.41397,-0.43868,-0.45545,-0.4209,-0.38161,-0.35009,-0.31251,-0.31014,-0.30375,-0.30575,-0.32546,-0.3295,-0.3295,-0.32057,-0.31647,-0.31647,-0.29307,-0.23829,-0.25513,-0.28853,-0.34687,-0.35547,-0.35556,-0.35556,-0.36605
-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.26304,-0.2587,-0.2587,-0.2587,-0.2587,-0.2587,-0.25187,-0.24069,-0.22888,-0.22547,-0.21522,-0.21087,-0.21087,-0.21087,-0.21087,-0.21087,-0.21087,-0.21087,-0.21087,-0.21739,-0.21461,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.19348,-0.18914,-0.17796,-0.17143,-0.16739,-0.16304,-0.16304,-0.16304,-0.16304,-0.16304
-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304,-0.86304
