sample_15000ms,sample_15500ms,sample_16000ms,sample_16500ms,sample_17000ms,sample_17500ms,sample_18000ms,sample_18500ms,sample_19000ms,sample_19500ms,sample_20000ms,sample_20500ms,sample_21000ms,sample_21500ms,sample_22000ms,sample_22500ms,sample_23000ms,sample_23500ms,sample_24000ms,sample_24500ms,sample_25000ms,sample_25500ms,sample_26000ms,sample_26500ms,sample_27000ms,sample_27500ms,sample_28000ms,sample_28500ms,sample_29000ms,sample_29500ms,sample_30000ms,sample_30500ms,sample_31000ms,sample_31500ms,sample_32000ms,sample_32500ms,sample_33000ms,sample_33500ms,sample_34000ms,sample_34500ms,sample_35000ms,sample_35500ms,sample_36000ms,sample_36500ms,sample_37000ms,sample_37500ms,sample_38000ms,sample_38500ms,sample_39000ms,sample_39500ms,sample_40000ms,sample_40500ms,sample_41000ms,sample_41500ms,sample_42000ms,sample_42500ms,sample_43000ms,sample_43500ms,sample_44000ms,sample_44500ms
-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.55652,-0.40775,-0.49602,-0.57826,-0.57826,-0.61023,-0.70721,-0.76194,-0.92276,-0.96522,-0.97701,-1,-0.9828,-0.93336
-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956,-0.36956
0.50927,0.34714,0.28897,0.23547,0.21151,0.079211,-0.025448,-0.19524,-0.41373,-0.51396,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565,-0.54185,-0.52168,-0.36718,-0.43112,-0.4413,-0.4413,-0.4413,-0.4413,-0.42321,-0.4141,-0.43696,-0.4082,-0.48044,-0.45562,-0.45101,-0.48913,-0.48913,-0.43506,-0.47078,-0.50985,-0.53309,-0.5413,-0.54211,-0.54565,-0.54565,-0.54565,-0.54565,-0.54565
0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435,0.30435
-0.35685,-0.27919,-0.25577,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.25217,-0.24771,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.22174,-0.23162,-0.23913,-0.23913,-0.23913,-0.23913,-0.23913,-0.24449,-0.26522,-0.26522,-0.26522,-0.26522,-0.26522,-0.26522,-0.2658,-0.28011,-0.29565,-0.29565,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913,-0.2913
0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435,0.50435
0.25217,0.25217,0.25217,0.25217,0.25217,0.25217,0.25217,0.25217,0.25217,0.26127,0.29151,0.29965,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.28261,0.29565,0.29565,0.29565,0.30692,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739,0.31739
0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019,0.51019
0.23261,0.23059,0.18471,0.18044,0.18812,0.21847,0.22391,0.22391,0.22391,0.21957,0.21957,0.21841,0.20272,0.2208,0.23306,0.21087,0.20225,0.20652,0.20652,0.20652,0.20234,0.14341,0.16909,0.18703,0.19348,0.19541,0.21904,0.19495,0.19542,0.20652,0.18425,0.15435,0.17942,0.20652,0.20582,0.20217,0.21087,0.20187,0.19348,0.21483,0.18805,0.16724,0.1993,0.20652,0.19348,0.19348,0.20551,0.20598,0.19139,0.18455,0.19348,0.19574,0.19558,0.15792,0.13479,0.12391,0.12585,0.13261,0.10197,0.11443
-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.15435,-0.16381,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739,-0.16739
